group,n,mean_pairwise,n_person_used,vocab_size,alpha,topk,min_total,date_start,date_end,include_unknown
All,1,0.2848359719,24,10,0.001,0,0,,,0
Heads,1,,1,0,0.001,0,0,,,0
Leaders,1,0.2825317841,9,7,0.001,0,0,,,0
Mid-levels,1,0.1890434493,4,9,0.001,0,0,,,0
Newcomers,1,0.2531160397,10,9,0.001,0,0,,,0
Night,1,0.2685423842,23,10,0.001,0,0,,,0
Seniors,1,0.3076296093,7,9,0.001,0,0,,,0
All,2,0.4955779374,24,78,0.001,0,0,,,0
Heads,2,,1,0,0.001,0,0,,,0
Leaders,2,0.4688985657,9,24,0.001,0,0,,,0
Mid-levels,2,0.3954269923,4,60,0.001,0,0,,,0
Newcomers,2,0.5049042482,10,58,0.001,0,0,,,0
Night,2,0.4885736274,23,77,0.001,0,0,,,0
Seniors,2,0.4825252124,7,56,0.001,0,0,,,0
All,3,0.6753862255,24,269,0.001,0,0,,,0
Heads,3,,1,0,0.001,0,0,,,0
Leaders,3,0.6571136975,9,51,0.001,0,0,,,0
Mid-levels,3,0.5581545346,4,155,0.001,0,0,,,0
Newcomers,3,0.7198236652,10,161,0.001,0,0,,,0
Night,3,0.6775942938,23,251,0.001,0,0,,,0
Seniors,3,0.6423955879,7,151,0.001,0,0,,,0
All,4,0.7825934812,24,579,0.001,0,0,,,0
Heads,4,,1,0,0.001,0,0,,,0
Leaders,4,0.7786227714,9,81,0.001,0,0,,,0
Mid-levels,4,0.6926109744,4,262,0.001,0,0,,,0
Newcomers,4,0.8160741377,10,300,0.001,0,0,,,0
Night,4,0.7856511725,23,530,0.001,0,0,,,0
Seniors,4,0.7562053515,7,296,0.001,0,0,,,0
All,5,0.8602440057,24,1040,0.001,0,0,,,0
Heads,5,,1,0,0.001,0,0,,,0
Leaders,5,0.8728829188,9,105,0.001,0,0,,,0
Mid-levels,5,0.8065060227,4,404,0.001,0,0,,,0
Newcomers,5,0.8843214515,10,454,0.001,0,0,,,0
Night,5,0.8619369102,23,926,0.001,0,0,,,0
Seniors,5,0.8490169369,7,492,0.001,0,0,,,0
