group,n,n_person,vocab_size,mean_pairwise,median_pairwise,max_pairwise,mean_to_centroid,median_to_centroid,max_to_centroid
Leaders,1,9,7,0.2377069283,0.2302811110,0.4576316049,0.1755608463,0.1852933225,0.2784079362
Leaders,2,9,27,0.3890566517,0.3976827672,0.6116984104,0.2963333201,0.2885831013,0.3983782333
Leaders,3,9,61,0.5429199081,0.5464571957,0.7032047846,0.4238515468,0.4191018985,0.4932831765
Leaders,4,9,107,0.6438391685,0.6584346932,0.7751926350,0.5139149449,0.4980932346,0.5728957770
Leaders,5,9,155,0.7233882823,0.7364330253,0.8262320834,0.5853523075,0.5796559909,0.6367149904
Mid-levels,1,4,10,0.1087631630,0.1033466711,0.1991874114,0.0661366206,0.0630101712,0.1151520088
Mid-levels,2,4,70,0.1868173279,0.1791314558,0.2925138461,0.1178022805,0.1150738898,0.1722807503
Mid-levels,3,4,248,0.2810786986,0.2725969164,0.3917740396,0.1852584949,0.1803469038,0.2357419285
Mid-levels,4,4,583,0.3762643991,0.3700028932,0.4769514830,0.2546032217,0.2522708575,0.2973748317
Mid-levels,5,4,1145,0.4803733842,0.4795196937,0.5647560434,0.3326302923,0.3346120933,0.3659425190
Newcomers,1,10,9,0.1596047820,0.1451677133,0.3365937037,0.1153170935,0.1171139081,0.2697993573
Newcomers,2,10,64,0.2915864390,0.2980550695,0.5024852416,0.2129930547,0.2084110833,0.4156311207
Newcomers,3,10,206,0.4236945493,0.4229157437,0.6253859892,0.3153308316,0.3214020531,0.5290539846
Newcomers,4,10,460,0.5351151520,0.5389552298,0.7264337931,0.4091640252,0.4195467069,0.5971044183
Newcomers,5,10,849,0.6271390358,0.6295814536,0.7848309582,0.4933714813,0.5012990872,0.6436855819
Night,1,23,10,0.1983727522,0.1724411714,0.5400535253,0.1474665994,0.1235551084,0.3962127247
Night,2,23,81,0.3186027897,0.2990587121,0.6630670864,0.2365318624,0.2418183036,0.4889482748
Night,3,23,318,0.4387113448,0.4279332363,0.7422547489,0.3312417787,0.3367898965,0.5515250982
Night,4,23,866,0.5409577129,0.5389333210,0.7845668973,0.4207921401,0.4369018814,0.6061111758
Night,5,23,1877,0.6253232092,0.6235379614,0.8083653304,0.5026034458,0.5207191413,0.6503417173
Seniors,1,7,9,0.2540326530,0.2636537951,0.4961218538,0.1847261057,0.1591423623,0.3433920945
Seniors,2,7,61,0.3611109990,0.3884696931,0.6057123981,0.2623084030,0.2381678328,0.4290927400
Seniors,3,7,226,0.4689495160,0.4988518471,0.6785120600,0.3413329170,0.3534943881,0.4890070832
Seniors,4,7,585,0.5587781264,0.5881343796,0.7429220099,0.4126619720,0.4352910872,0.5410894615
Seniors,5,7,1195,0.6360301812,0.6729993799,0.7901498587,0.4791118150,0.5127251262,0.5837181559
